,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
175,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,max,lpips_vgg_4,0.48046875,0.4014441380492505,0.372100830078125,0.0
191,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,max,lpips_vgg_5,0.4765625,0.4403528958361086,0.4488525390625,0.0078125
4,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.37225826789998734,0.294036865234375,0.0
20,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.3684731700338082,0.28179931640625,0.0
36,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.35234816795155605,0.22406005859375,0.0
52,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.3540547278148589,0.227294921875,0.0
68,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3904544874568444,0.347015380859375,0.0
84,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48828125,0.421346218077282,0.418243408203125,0.015625
100,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,max,lpips_vgg_0,0.48046875,0.37225826789998734,0.294036865234375,0.0
116,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,max,lpips_vgg_1,0.48046875,0.3684731700338082,0.28179931640625,0.0
132,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,max,lpips_vgg_2,0.48046875,0.35234816795155605,0.22406005859375,0.0
148,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,max,lpips_vgg_3,0.48046875,0.3540547278148589,0.227294921875,0.0
164,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,max,lpips_vgg_4,0.48046875,0.3904544874568444,0.347015380859375,0.0
180,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/art,clean,max,lpips_vgg_5,0.48828125,0.421346218077282,0.418243408203125,0.015625
5,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.4921875,0.5119342317612912,0.55975341796875,0.0390625
21,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.5234375,0.6405789960800493,0.69403076171875,0.0859375
