,fake_dir,transform,repo_id,distance_metric,ap,tpr5fpr
199,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_5,0.8523228225882098,0.18
3,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.8863031207926443,0.42
20,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9860929505360816,0.86
37,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9688315486616244,0.78
54,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9713787617063641,0.98
71,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.7793997817422221,0.1
88,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.5960111763959026,0.0
105,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_0,0.8863031207926443,0.42
122,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_1,0.9860929505360816,0.86
139,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_2,0.9688315486616244,0.78
156,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_3,0.9713787617063641,0.98
173,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_4,0.7793997817422221,0.1
190,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_expressionism,clean,max,lpips_vgg_5,0.5960111763959026,0.0
8,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.725740270405271,0.0
25,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.8811536144594212,0.3
42,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9316395456513062,0.56
59,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.916430797432008,0.88
76,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.4768196681081601,0.0
93,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.4385777644148661,0.0
110,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_0,0.725740270405271,0.0
127,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_impressionism,clean,max,lpips_vgg_1,0.8811536144594212,0.3
